,Date,Team,Acquired,Relinquished,Notes
40510,2019-01-26,Pacers,,Victor Oladipo,placed on IL recovering from surgery on right knee to repair ruptured quadriceps tendon (out for season)
40511,2019-01-26,Pacers,Edmond Sumner,,activated from IL
40512,2019-01-27,Heat,,Tyler Johnson,left calf injury (DTD)
40513,2019-01-27,Heat,Dion Waiters,,returned to lineup
40514,2019-01-27,Lakers,,Kyle Kuzma,strained left hip (DTD)
40515,2019-01-27,Rockets,Brandon Knight,,returned to lineup
40516,2019-01-27,Rockets,Chris Paul,,activated from IL
40517,2019-01-27,Spurs,,DeMar DeRozan,placed on IL with sore left knee
40518,2019-01-27,Suns,Richaun Holmes,,activated from IL
40519,2019-01-27,Wizards,,Ian Mahinmi,right thumb injury (DTD)
40520,2019-01-27,Wizards,,Sam Dekker,back spasms (DTD)
40521,2019-01-28,Celtics,,Kyrie Irving,placed on IL with strained left hip
40522,2019-01-28,Celtics,Robert Williams III,,activated from IL
40523,2019-01-28,Grizzlies,,JaMychal Green,sore left knee (DTD)
40524,2019-01-28,Grizzlies,Kyle Anderson,,activated from IL
40525,2019-01-28,Heat,,Derrick Jones Jr.,placed on IL with bone bruse in right knee
40526,2019-01-28,Knicks,,Frank Ntilikina,placed on IL with groin injury
40527,2019-01-28,Knicks,Kadeem Allen,,activated from IL
40528,2019-01-28,Nets,,Spencer Dinwiddie,placed on IL with right thumb injury
40529,2019-01-28,Nets,,Treveon Graham,sore lower back (DTD)
40530,2019-01-28,Pacers,,Tyreke Evans,placed on IL with sore lower back
40531,2019-01-28,Warriors,,Draymond Green,placed on IL
40532,2019-01-29,76ers,,Jonah Bolden,placed on IL with sore right Achilles
40533,2019-01-29,76ers,,Shake Milton,placed on IL
40534,2019-01-29,76ers,Jimmy Butler,,activated from IL
40535,2019-01-29,76ers,Joel Embiid,,activated from IL
40536,2019-01-29,76ers,Wilson Chandler,,activated from IL
40537,2019-01-29,Bucks,,Malcolm Brogdon,placed on IL with sternum injury
40538,2019-01-29,Bucks,,Sterling Brown,right wrist injury (DTD)
40539,2019-01-29,Magic,,Melvin Frazier Jr.,placed on IL
40540,2019-01-29,Nets,Treveon Graham,,returned to lineup
40541,2019-01-29,Pelicans,,Elfrid Payton,sprained right ankle (DTD)
40542,2019-01-29,Pelicans,,Julius Randle,placed on IL with sprained right ankle
40543,2019-01-29,Pistons,,Reggie Bullock,placed on IL with sprained left ankle
40544,2019-01-29,Thunder,,Steven Adams,sprained right ankle (DTD)
40545,2019-01-29,Thunder,,Terrance Ferguson,placed on IL with back spasms
40546,2019-01-29,Wizards,Ian Mahinmi,,returned to lineup
40547,2019-01-29,Wizards,Sam Dekker,,returned to lineup
40548,2019-01-30,Blazers,,Jusuf Nurkic,sore right knee (DTD)
40549,2019-01-30,Blazers,,Nik Stauskas,sore left knee (DTD)
40550,2019-01-30,Blazers,Damian Lillard,,activated from IL
40551,2019-01-30,Bulls,,Zach LaVine,sprained right ankle (DTD)
40552,2019-01-30,Celtics,,Robert Williams III,placed on IL
40553,2019-01-30,Grizzlies,JaMychal Green,,returned to lineup
40554,2019-01-30,Hawks,,Tyler Dorsey,placed on IL with bruised left knee
40555,2019-01-30,Hawks,Kent Bazemore,,activated from IL
40556,2019-01-30,Heat,,Dwyane Wade,sore right knee (DTD)
40557,2019-01-30,Heat,Tyler Johnson,,returned to lineup
40558,2019-01-30,Hornets,, Tony Parker,placed on IL with sore right ankle
40559,2019-01-30,Pacers,,Alize Johnson,placed on IL
40560,2019-01-30,Timberwolves,Jeff Teague,,activated from IL
40561,2019-01-31,76ers,Jonah Bolden,,activated from IL
40562,2019-01-31,Bucks,Malcolm Brogdon,,activated from IL
40563,2019-01-31,Bucks,Sterling Brown,,returned to lineup
40564,2019-01-31,Lakers,Kyle Kuzma,,returned to lineup
40565,2019-01-31,Lakers,LeBron James,,activated from IL
40566,2019-01-31,Magic,,Jonathon Simmons,placed on IL with strained abdominal
40567,2019-01-31,Magic,Isaiah Briscoe,,activated from IL
40568,2019-01-31,Magic,Melvin Frazier Jr.,,activated from IL
40569,2019-01-31,Mavericks,,Luka Doncic,sore left ankle (DTD)
40570,2019-01-31,Nets,Dzanan Musa,,activated from IL
40571,2019-01-31,Pistons,Reggie Bullock,,activated from IL
40572,2019-01-31,Raptors,Chris Boucher,,activated from IL
40573,2019-01-31,Warriors,,Klay Thompson,illness (DTD)
40574,2019-01-31,Warriors,Draymond Green,,activated from IL
40575,2019-01-31,Mavericks,,DeAndre Jordan,placed on IL
40576,2019-01-31,Mavericks,,Wes Matthews Jr.,placed on IL
40577,2019-02-01,Celtics,Kyrie Irving,,activated from IL
40578,2019-02-01,Grizzlies,,Jaren Jackson Jr.,right quadricep injury (DTD)
40579,2019-02-01,Grizzlies,,Kyle Anderson,sore right shoulder (out for season)
40580,2019-02-01,Grizzlies,,Mike Conley Jr.,placed on IL with sore left knee
40581,2019-02-01,Grizzlies,,Omri Casspi,surgery on right knee (out indefinitely)
40582,2019-02-01,Grizzlies,Yuta Watanabe,,activated from IL
40583,2019-02-01,Hawks,Tyler Dorsey,,activated from IL
40584,2019-02-01,Heat,Dwyane Wade,,returned to lineup
40585,2019-02-01,Hornets, Tony Parker,,activated from IL
40586,2019-02-01,Knicks,Isaiah Hicks,,activated from IL
40587,2019-02-01,Knicks,Luke Kornet,,activated from IL
40588,2019-02-01,Nuggets,,Gary Harris,placed on IL with right adductor injury
40589,2019-02-01,Pelicans,,E'Twaun Moore,bruised left quadricep (DTD)
40590,2019-02-01,Pelicans,,Trevon Bluiett,surgery on right thumb (out for season)
40591,2019-02-01,Rockets,Isaiah Hartenstein,,activated from IL
40592,2019-02-01,Thunder,Steven Adams,,returned to lineup
40593,2019-02-01,Thunder,Terrance Ferguson,,activated from IL
40594,2019-02-02,76ers,,Wilson Chandler,placed on IL with strained right quadriceps
40595,2019-02-02,76ers,Shake Milton,,activated from IL
40596,2019-02-02,Bucks,,Eric Bledsoe,left Achilles injury (DTD)
40597,2019-02-02,Bucks,,Jason Smith,placed on IL with sore left knee
40598,2019-02-02,Bulls,,Jabari Parker,placed on IL for personal reasons
40599,2019-02-02,Bulls,Zach LaVine,,returned to lineup
40600,2019-02-02,Cavaliers,David Nwaba,,activated from IL
40601,2019-02-02,Knicks,,Courtney Lee,placed on IL
40602,2019-02-02,Lakers,,LeBron James,placed on IL with strained left groin
40603,2019-02-02,Magic,,Mo Bamba,left leg injury (DTD)
40604,2019-02-02,Mavericks,,Tim Hardaway Jr.,placed on IL with hamstring injury
40605,2019-02-02,Mavericks,,Trey Burke,placed on IL with illness
40606,2019-02-02,Mavericks,Luka Doncic,,returned to lineup
40607,2019-02-02,Pacers,,Doug McDermott,placed on IL with rib injury
40608,2019-02-02,Pacers,Tyreke Evans,,activated from IL
40609,2019-02-02,Pistons,Ish Smith,,activated from IL
40610,2019-02-02,Spurs,,Dante Cunningham,sore right ankle (DTD)
40611,2019-02-02,Spurs,,Lonnie Walker IV,placed on IL
40612,2019-02-02,Suns,Deandre Ayton,,activated from IL
40613,2019-02-02,Timberwolves,Derrick Rose,,returned to lineup
40614,2019-02-02,Warriors,Klay Thompson,,returned to lineup
40615,2019-02-03,Celtics,,Aron Baynes,placed on IL with bruised left foot
40616,2019-02-03,Grizzlies,Jaren Jackson Jr.,,returned to lineup
40617,2019-02-03,Grizzlies,Mike Conley Jr.,,activated from IL
40618,2019-02-03,Knicks,,Mitchell Robinson,placed on IL with illness
40619,2019-02-03,Knicks,DeAndre Jordan,,activated from IL
40620,2019-02-03,Knicks,Wes Matthews Jr.,,activated from IL
40621,2019-02-03,Raptors,,Kyle Lowry,placed on IL with sore lower back
40622,2019-02-03,Spurs,,Derrick White,right heel injury (DTD)
40623,2019-02-03,Thunder,,Abdel Nader,illness (DTD)
40624,2019-02-04,Bucks,Eric Bledsoe,,returned to lineup
40625,2019-02-04,Nets,,Joe Harris,right hip injury (DTD)
40626,2019-02-04,Nuggets,,Paul Millsap,sore right ankle (DTD)
40627,2019-02-04,Rockets,,Eric Gordon,placed on IL with sore right knee
40628,2019-02-04,Spurs,,Derrick White,placed on IL with right heel injury
40629,2019-02-04,Spurs,Dante Cunningham,,returned to lineup
40630,2019-02-04,Spurs,Lonnie Walker IV,,activated from IL
40631,2019-02-04,Timberwolves,,Derrick Rose,sore right ankle (DTD)
40632,2019-02-04,Wizards,,Troy Brown Jr.,placed on IL with sprained left ankle
40633,2019-02-04,Celtics,,Robert Williams III,sore back (DTD)
40634,2019-02-05,76ers,,J.J. Redick,placed on IL with nausea
40635,2019-02-05,76ers,,Shake Milton,placed on IL with fractured finger
40636,2019-02-05,Blazers,,Rodney Hood,placed on IL
40637,2019-02-05,Blazers,Gary Trent Jr.,,activated from IL
40638,2019-02-05,Cavaliers,,Cedi Osman,placed on IL with sprained right ankle
40639,2019-02-05,Cavaliers,,Nik Stauskas,placed on IL with sore left knee
40640,2019-02-05,Celtics,,Kyrie Irving,placed on IL with strained left hip
40641,2019-02-05,Celtics,,Marcus Morris,sore right knee (DTD)
40642,2019-02-05,Grizzlies,,JaMychal Green,sore left knee (DTD)
40643,2019-02-05,Grizzlies,,Joakim Noah,right heel injury (DTD)
40644,2019-02-05,Grizzlies,,Marc Gasol,hand injury (DTD)
40645,2019-02-05,Hornets,Cody Zeller,,activated from IL
40646,2019-02-05,Knicks,,Isaiah Hicks,placed on IL
40647,2019-02-05,Knicks,Mitchell Robinson,,activated from IL
40648,2019-02-05,Lakers,,Josh Hart,left knee injury (DTD)
40649,2019-02-05,Magic,,Mo Bamba,placed on IL with left tibia injury (out for season)
40650,2019-02-05,Pistons,,Ish Smith,placed on IL with right adductor injury
40651,2019-02-05,Raptors,,Chris Boucher,placed on IL
40652,2019-02-05,Raptors,Kyle Lowry,,activated from IL
40653,2019-02-05,Thunder,Abdel Nader,,returned to lineup
40654,2019-02-05,Timberwolves,,Derrick Rose,placed on IL with sore right ankle
40655,2019-02-06,Grizzlies,Marc Gasol,,returned to lineup
40656,2019-02-06,Hornets,, Tony Parker,placed on IL with strained back
40657,2019-02-06,Jazz,Raul Neto,,activated from IL
40658,2019-02-06,Knicks,Courtney Lee,,activated from IL
40659,2019-02-06,Mavericks,Tim Hardaway Jr.,,activated from IL
40660,2019-02-06,Mavericks,Trey Burke,,activated from IL
40661,2019-02-06,Nets,,Alan Williams,placed on IL
40662,2019-02-06,Nets,Allen Crabbe,,activated from IL
40663,2019-02-06,Nets,Joe Harris,,returned to lineup
40664,2019-02-06,Nuggets,,Paul Millsap,placed on IL with sore right ankle
40665,2019-02-06,Nuggets,Jamal Murray,,activated from IL
40666,2019-02-06,Pelicans,,Elfrid Payton,placed on IL with sprained right ankle
40667,2019-02-06,Pelicans,Anthony Davis,,activated from IL
40668,2019-02-06,Pelicans,Julius Randle,,activated from IL
40669,2019-02-06,Rockets,Eric Gordon,,activated from IL
40670,2019-02-06,Suns,,Devin Booker,right hamstring injury (DTD)
40671,2019-02-06,Raptors,Malachi Richardson,,activated from IL
40672,2019-02-06,Suns,,Tyler Johnson,placed on IL
40673,2019-02-07,Blazers,Rodney Hood,,activated from IL
40674,2019-02-07,Celtics,Kyrie Irving,,activated from IL
40675,2019-02-07,Celtics,Marcus Morris,,returned to lineup
40676,2019-02-07,Celtics,Robert Williams III,,activated from IL
40677,2019-02-07,Clippers,Danilo Gallinari,,activated from IL
40678,2019-02-07,Hawks,Jaylen Adams,,activated from IL
40679,2019-02-07,Lakers,Josh Hart,,returned to lineup
40680,2019-02-07,Raptors,,Kawhi Leonard,sore left knee (DTD)
40681,2019-02-07,Spurs,,Lonnie Walker IV,placed on IL with sprained right ankle
40682,2019-02-07,Grizzlies,Omri Casspi,,activated from IL
40683,2019-02-07,Raptors,,C.J. Miles,placed on IL
40684,2019-02-07,Clippers,,JaMychal Green,placed on IL with sore left knee
40685,2019-02-08,76ers,J.J. Redick,,activated from IL
40686,2019-02-08,Bucks,,Khris Middleton,placed on IL
40687,2019-02-08,Cavaliers,Kevin Love,,activated from IL
40688,2019-02-08,Knicks,Isaiah Hicks,,activated from IL
40689,2019-02-08,Nets,Caris LeVert,,activated from IL
40690,2019-02-08,Pelicans,,Jahlil Okafor,placed on IL with sprained left ankle
40691,2019-02-08,Pelicans,Jason Smith,,activated from IL
40692,2019-02-08,Pistons,,Jon Leuer,placed on IL
40693,2019-02-08,Pistons,Ish Smith,,activated from IL
40694,2019-02-08,Suns,Tyler Johnson,,activated from IL
40695,2019-02-08,Timberwolves,,Jerryd Bayless,right big toe injury (DTD)
40696,2019-02-08,Timberwolves,Jeff Teague,,returned to lineup
40697,2019-02-08,Pacers,Nik Stauskas,,activated from IL
40698,2019-02-08,Pelicans,Markieff Morris,,activated from IL
40699,2019-02-08,Mavericks,,Kostas Antetokounmpo,illness (DTD)
40700,2019-02-09,Bucks,,Giannis Antetokounmpo,placed on IL with sore right knee
40701,2019-02-09,Bucks,Khris Middleton,,activated from IL
40702,2019-02-09,Cavaliers,,Kevin Love,placed on IL
40703,2019-02-09,Clippers,Garrett Temple,,activated from IL
40704,2019-02-09,Clippers,JaMychal Green,,activated from IL
40705,2019-02-09,Grizzlies,,Kyle Anderson,placed on IL with sore right shoulder (out for season)
40706,2019-02-09,Grizzlies,,Yuta Watanabe,ankle injury (DTD)
40707,2019-02-09,Grizzlies,C.J. Miles,,activated from IL
40708,2019-02-09,Grizzlies,Joakim Noah,,returned to lineup
40709,2019-02-09,Jazz,Thabo Sefolosha,,activated from IL
40710,2019-02-09,Pelicans,E'Twaun Moore,,returned to lineup
40711,2019-02-09,Raptors,Chris Boucher,,activated from IL
40712,2019-02-09,Raptors,Kawhi Leonard,,returned to lineup
40713,2019-02-09,Rockets,,Isaiah Hartenstein,placed on IL
40714,2019-02-09,Spurs,,Rudy Gay,sprained left ankle (DTD)
40715,2019-02-09,Grizzlies,Jonas Valanciunas,,activated from IL
40716,2019-02-09,Mavericks,Kostas Antetokounmpo,,returned to lineup
40717,2019-02-09,Hawks,,Jaylen Adams,placed on IL with sprained right ankle
40718,2019-02-10,Blazers,,Gary Trent Jr.,placed on IL
40719,2019-02-10,Magic,Jonathon Simmons,,activated from IL
40720,2019-02-10,Suns,Devin Booker,,returned to lineup
40721,2019-02-10,Thunder,,Jerami Grant,sprained right ankle (DTD)
40722,2019-02-10,Warriors,,Andre Iguodala,placed on IL with left hamstring injury
40723,2019-02-10,Warriors,,Jacob Evans,pelvic injury (DTD)
40724,2019-02-10,Mavericks,,Salah Mejri,placed on IL
40725,2019-02-11,Blazers,Gary Trent Jr.,,activated from IL
40726,2019-02-11,Bucks,Giannis Antetokounmpo,,activated from IL
40727,2019-02-11,Cavaliers,,Ante Zizic,placed on IL with sore lower back
40728,2019-02-11,Hornets,,Devonte' Graham,placed on IL with illness
40729,2019-02-11,Lakers,,Josh Hart,right knee tendinitis (DTD)
40730,2019-02-11,Nets,,DeMarre Carroll,sore left knee (DTD)
40731,2019-02-11,Nuggets,,Tyler Lydon,placed on IL with concussion
40732,2019-02-11,Nuggets,Paul Millsap,,activated from IL
40733,2019-02-11,Pacers,Doug McDermott,,activated from IL
40734,2019-02-11,Raptors,,Fred VanVleet,placed on IL with left thumb injury
40735,2019-02-11,Rockets,,Nene Hilario ,right calf injury (DTD)
40736,2019-02-11,Rockets,Isaiah Hartenstein,,activated from IL
40737,2019-02-11,Thunder,,Jerami Grant,placed on IL with sprained right ankle
40738,2019-02-11,Timberwolves,,Andrew Wiggins,placed on IL with illness
40739,2019-02-11,Timberwolves,Derrick Rose,,activated from IL
40740,2019-02-11,Timberwolves,Jerryd Bayless,,returned to lineup
40741,2019-02-12,Celtics,,Kyrie Irving,placed on IL with strained right knee
40742,2019-02-12,Celtics,,Robert Williams III,sore back (DTD)
40743,2019-02-12,Grizzlies,,Mike Conley Jr.,illness (DTD)
40744,2019-02-12,Grizzlies,,Yuta Watanabe,placed on IL with ankle injury
40745,2019-02-12,Lakers,,Tyson Chandler,right big toe injury (DTD)
40746,2019-02-12,Pelicans,Jahlil Okafor,,activated from IL
40747,2019-02-12,Rockets,,Austin Rivers,sore right elbow (DTD)
40748,2019-02-12,Spurs,Lonnie Walker IV,,activated from IL
40749,2019-02-12,Spurs,Rudy Gay,,returned to lineup
40750,2019-02-12,Warriors,Andre Iguodala,,activated from IL
40751,2019-02-13,76ers,,Furkan Korkmaz,placed on IL with sore right knee
40752,2019-02-13,Blazers,,Gary Trent Jr.,placed on IL
40753,2019-02-13,Bulls,,Kris Dunn,placed on IL with bruised tailbone
40754,2019-02-13,Cavaliers,Ante Zizic,,activated from IL
40755,2019-02-13,Cavaliers,Cedi Osman,,activated from IL
40756,2019-02-13,Celtics,,Terry Rozier,placed on IL with illness
40757,2019-02-13,Grizzlies,Mike Conley Jr.,,returned to lineup
40758,2019-02-13,Mavericks,Salah Mejri,,activated from IL
40759,2019-02-13,Nets,,Rodions Kurucs,sprained left elbow (DTD)
40760,2019-02-13,Nets,DeMarre Carroll,,returned to lineup
40761,2019-02-13,Nuggets,Isaiah Thomas,,activated from IL
40762,2019-02-13,Nuggets,Tyler Lydon,,activated from IL
40763,2019-02-13,Pistons,,Svi Mykhailiuk,placed on IL
40764,2019-02-13,Raptors,,Kawhi Leonard,sore left knee (DTD)
40765,2019-02-13,Raptors,,Patrick McCaw,placed on IL with sore right shoulder
40766,2019-02-13,Rockets,Nene Hilario ,,returned to lineup
40767,2019-02-13,Warriors,,Andre Iguodala,placed on IL
40768,2019-02-13,Warriors,,DeMarcus Cousins,placed on IL
40769,2019-02-13,Warriors,,Shaun Livingston,placed on IL
40770,2019-02-13,Celtics,Robert Williams III,,returned to lineup
40771,2019-02-13,Celtics,,Robert Williams III,placed on IL with illness
40772,2019-02-14,Hawks,Alex Poythress,,activated from IL
40773,2019-02-14,Hornets,,Bismack Biyombo,placed on IL
40774,2019-02-14,Hornets,Devonte' Graham,,activated from IL
40775,2019-02-14,Knicks,,Mario Hezonja,placed on IL with bruised left leg
40776,2019-02-20,76ers,,Joel Embiid,sore left knee (DTD)
40777,2019-02-20,Rockets,,Iman Shumpert,sore right knee (DTD)
40778,2019-02-20,Suns,De'Anthony Melton,,activated from IL
40779,2019-02-21,76ers,,Joel Embiid,placed on IL with sore left knee
40780,2019-02-21,76ers,Furkan Korkmaz,,activated from IL
40781,2019-02-21,Bucks,Nikola Mirotic,,activated from IL
40782,2019-02-21,Celtics,,Gordon Hayward,placed on IL with sprained right ankle
40783,2019-02-21,Celtics,Kyrie Irving,,activated from IL
40784,2019-02-21,Celtics,Robert Williams III,,activated from IL
40785,2019-02-21,Celtics,Terry Rozier,,activated from IL
40786,2019-02-21,Heat,Derrick Jones Jr.,,activated from IL
40787,2019-02-21,Knicks,Mario Hezonja,,activated from IL
40788,2019-02-21,Lakers,,Mike Muscala,placed on IL with sprained right ankle
40789,2019-02-21,Lakers,Josh Hart,,returned to lineup
40790,2019-02-21,Lakers,Tyson Chandler,,returned to lineup
40791,2019-02-21,Nets,Jared Dudley,,activated from IL
40792,2019-02-21,Nets,Rodions Kurucs,,returned to lineup
40793,2019-02-21,Nuggets,,Trey Lyles,strained left hamstring (DTD)
40794,2019-02-21,Raptors,Patrick McCaw,,activated from IL
40795,2019-02-21,Rockets,,Iman Shumpert,placed on IL with sore right knee
40796,2019-02-21,Rockets,,Isaiah Hartenstein,placed on IL
40797,2019-02-21,Rockets,Austin Rivers,,returned to lineup
40798,2019-02-21,Rockets,Clint Capela,,activated from IL
40799,2019-02-21,Timberwolves,Andrew Wiggins,,activated from IL
40800,2019-02-21,Warriors,Andre Iguodala,,activated from IL
40801,2019-02-21,Warriors,DeMarcus Cousins,,activated from IL
40802,2019-02-21,Warriors,Shaun Livingston,,activated from IL
40803,2019-02-21,Wizards,Troy Brown Jr.,,activated from IL
40804,2019-02-22,Blazers,,Evan Turner,sore left knee (DTD)
40805,2019-02-22,Bulls,Kris Dunn,,activated from IL
40806,2019-02-22,Grizzlies,,Jaren Jackson Jr.,placed on IL with right quadricep injury (out for season)
40807,2019-02-22,Grizzlies,Chandler Parsons,,activated from IL
40808,2019-02-22,Hawks,,Kevin Huerter,placed on IL with sprained left ankle
40809,2019-02-22,Hawks,Jaylen Adams,,activated from IL
40810,2019-02-22,Hornets, Tony Parker,,activated from IL
40811,2019-02-22,Hornets,Bismack Biyombo,,activated from IL
40812,2019-02-22,Knicks,,Isaiah Hicks,placed on IL
40813,2019-02-22,Knicks,,Kadeem Allen,placed on IL
40814,2019-02-22,Knicks,Emmanuel Mudiay,,activated from IL
40815,2019-02-22,Magic,,Melvin Frazier Jr.,placed on IL
40816,2019-02-22,Mavericks,,Luka Doncic,placed on IL with sore right ankle
40817,2019-02-22,Nuggets,,Trey Lyles,placed on IL with strained left hamstring
40818,2019-02-22,Nuggets,Gary Harris,,activated from IL
40819,2019-02-22,Pacers,,Myles Turner,placed on IL with bruised left hip
40820,2019-02-22,Pelicans,,Darius Miller,placed on IL with sprained right ankle
40821,2019-02-22,Pelicans,Elfrid Payton,,activated from IL
40822,2019-02-22,Pistons,Jon Leuer,,activated from IL
40823,2019-02-22,Raptors,Kawhi Leonard,,returned to lineup
40824,2019-02-22,Spurs,Derrick White,,activated from IL
40825,2019-02-22,Thunder,Jerami Grant,,activated from IL
40826,2019-02-22,Timberwolves,,Karl-Anthony Towns,placed on IL with concussion
40827,2019-02-22,Timberwolves,Tyus Jones,,activated from IL
40828,2019-02-22,Wizards,,Jordan McRae,placed on IL
40829,2019-02-23,Blazers,,Evan Turner,placed on IL with sore left knee
40830,2019-02-23,Blazers,Gary Trent Jr.,,activated from IL
40831,2019-02-23,Celtics,Gordon Hayward,,activated from IL
40832,2019-02-23,Heat,,James Johnson,placed on IL with sprained left shoulder
40833,2019-02-23,Heat,,Justise Winslow,placed on IL with sprained left knee
40834,2019-02-23,Heat,Goran Dragic,,activated from IL
40835,2019-02-23,Lakers,Mike Muscala,,activated from IL
40836,2019-02-23,Mavericks,,Maxi Kleber,placed on IL with illness
40837,2019-02-23,Pelicans,,Anthony Davis,placed on IL
40838,2019-02-23,Rockets,,James Harden,placed on IL with cervical strain
40839,2019-02-23,Warriors,Jacob Evans,,activated from IL
40840,2019-02-23,Warriors,Shaun Livingston,,returned to lineup
40841,2019-02-24,Bucks,,George Hill,strained left groin (DTD)
40842,2019-02-24,Knicks,,DeAndre Jordan,placed on IL with sprained left ankle
40843,2019-02-24,Magic,,Isaiah Briscoe,placed on IL with concussion
40844,2019-02-24,Spurs,,Derrick White,right heel injury (DTD)
40845,2019-02-25,76ers,,Furkan Korkmaz,placed on IL with sore right knee
40846,2019-02-25,Blazers,,Gary Trent Jr.,placed on IL
40847,2019-02-25,Bucks,,George Hill,placed on IL with strained left groin
40848,2019-02-25,Bucks,,Giannis Antetokounmpo,placed on IL with sore right knee
40849,2019-02-25,Bucks,,Sterling Brown,placed on IL with right wrist injury
40850,2019-02-25,Bulls,,Kris Dunn,placed on IL with migraine headache
40851,2019-02-25,Bulls,,Otto Porter Jr.,placed on IL with lower leg injury
40852,2019-02-25,Grizzlies,,C.J. Miles,right hip injury (DTD)
40853,2019-02-25,Hawks,Kevin Huerter,,activated from IL
40854,2019-02-25,Heat,,Derrick Jones Jr.,illness (DTD)
40855,2019-02-25,Heat,,Rodney McGruder,bruised right knee (DTD)
40856,2019-02-25,Mavericks,Luka Doncic,,activated from IL
40857,2019-02-25,Mavericks,Maxi Kleber,,activated from IL
40858,2019-02-25,Pacers,Myles Turner,,activated from IL
40859,2019-02-25,Pelicans,Anthony Davis,,activated from IL
40860,2019-02-25,Rockets,Iman Shumpert,,activated from IL
40861,2019-02-25,Rockets,James Harden,,activated from IL
40862,2019-02-25,Spurs,Derrick White,,returned to lineup
40863,2019-02-25,Timberwolves,,Jeff Teague,sore left knee (DTD)
40864,2019-02-25,Timberwolves,Karl-Anthony Towns,,activated from IL
40865,2019-02-25,Warriors,,Jacob Evans,placed on IL
40866,2019-02-25,Warriors,,Jordan Bell,placed on IL with flu
40867,2019-02-25,Pacers,,Alize Johnson,bruised left foot (DTD)
40868,2019-02-26,76ers,,Boban Marjanovic,right knee injury (DTD)
40869,2019-02-26,Celtics,,Brad Wanamaker,illness (DTD)
40870,2019-02-26,Pacers,,Domantas Sabonis,sprained left ankle (DTD)
40871,2019-02-27,Blazers,Gary Trent Jr.,,activated from IL
40872,2019-02-27,Bucks,Giannis Antetokounmpo,,activated from IL
40873,2019-02-27,Bulls,Kris Dunn,,activated from IL
40874,2019-02-27,Bulls,Otto Porter Jr.,,activated from IL
40875,2019-02-27,Celtics,,Terry Rozier,placed on IL with sore left knee
40876,2019-02-27,Celtics,Brad Wanamaker,,returned to lineup
40877,2019-02-27,Grizzlies,,Ivan Rabb,right heel injury (DTD)
40878,2019-02-27,Grizzlies,C.J. Miles,,returned to lineup
40879,2019-02-27,Hawks,,Alex Poythress,placed on IL
40880,2019-02-27,Heat,,Hassan Whiteside,strained left hip (DTD)
40881,2019-02-27,Heat,Derrick Jones Jr.,,returned to lineup
40882,2019-02-27,Heat,Justise Winslow,,activated from IL
40883,2019-02-27,Heat,Rodney McGruder,,returned to lineup
40884,2019-02-27,Mavericks,,Trey Burke,placed on IL with illness
40885,2019-02-27,Pacers,,Domantas Sabonis,placed on IL with sprained left ankle
40886,2019-02-27,Pacers,,Edmond Sumner,placed on IL
40887,2019-02-27,Pacers,,Tyreke Evans,food poisoning (DTD)
40888,2019-02-27,Pelicans,Darius Miller,,activated from IL
40889,2019-02-27,Timberwolves,,Jeff Teague,placed on IL with sore left knee
40890,2019-02-27,Warriors,,DeMarcus Cousins,placed on IL
40891,2019-02-27,Warriors,Jordan Bell,,activated from IL
40892,2019-02-28,76ers,,Boban Marjanovic,placed on IL with right knee injury
40893,2019-02-28,Jazz,,Raul Neto,placed on IL with left hamstring injury
40894,2019-02-28,Jazz,,Ricky Rubio,placed on IL with left hamstring injury
40895,2019-02-28,Kings,,Marvin Bagley III,sprained left knee (DTD)
40896,2019-02-28,Lakers,,Lance Stephenson,sprained toe (DTD)
40897,2019-02-28,Magic,Isaiah Briscoe,,activated from IL
40898,2019-02-28,Rockets,,Eric Gordon,sore right knee (DTD)
40899,2019-02-28,Rockets,,Iman Shumpert,right calf injury (DTD)
40900,2019-02-28,Rockets,,Kenneth Faried,bruised left hip / strained adductor in left hip (DTD)
40901,2019-02-28,Thunder,,Paul George,sore right shoulder (DTD)
40902,2019-02-28,Timberwolves,,Luol Deng,placed on IL with left Achilles injury (out for season)
40903,2019-02-28,Timberwolves,Jeff Teague,,activated from IL
40904,2019-02-28,Warriors,,Andre Iguodala,placed on IL with illness
40905,2019-02-28,Warriors,,Kevin Durant,placed on IL
40906,2019-02-28,Warriors,DeMarcus Cousins,,activated from IL
40907,2019-03-01,Cavaliers,,Ante Zizic,concussion (DTD)
40908,2019-03-01,Celtics,Terry Rozier,,activated from IL
40909,2019-03-01,Hawks,,John Collins ,placed on IL with flu
40910,2019-03-01,Kings,,Marvin Bagley III,placed on IL with sprained left knee
40911,2019-03-01,Lakers,,Lance Stephenson,placed on IL with sprained toe
40912,2019-03-01,Nets,Spencer Dinwiddie,,activated from IL
40913,2019-03-02,76ers,,Amir Johnson,back injury (DTD)
40914,2019-03-02,Bucks,,Eric Bledsoe,sore back (DTD)
40915,2019-03-02,Bucks,,Malcolm Brogdon,placed on IL with right foot injury
40916,2019-03-02,Grizzlies,Ivan Rabb,,returned to lineup
40917,2019-03-02,Heat,,Goran Dragic,strained left calf (DTD)
40918,2019-03-02,Heat,,Hassan Whiteside,placed on IL with strained left hip
40919,2019-03-02,Heat,James Johnson,,activated from IL
40920,2019-03-02,Jazz,Ricky Rubio,,activated from IL
40921,2019-03-02,Magic,Melvin Frazier Jr.,,activated from IL
